COMENT1                 : Grid Data created from HDF file
COMENT2                 : WRF_d05_1km.hdf5
 
 
 ILB_IUB                :           1         106
 JLB_JUB                :           1         106
 COORD_TIP              :           4
 ORIGIN                 :  -9.947577       41.78769    
 GRID_ANGLE             :  0.0000000E+00
 LATITUDE               :   41.78769    
 LONGITUDE              :  -9.947577    
 FILL_VALUE             :  -99.00000    
 
 
 <CornersXY>
  -9.947577       41.78769    
  -9.931522       41.78709    
  -9.915469       41.78650    
  -9.899416       41.78590    
  -9.883363       41.78530    
  -9.867310       41.78470    
  -9.851257       41.78410    
  -9.835205       41.78349    
  -9.819154       41.78288    
  -9.803102       41.78227    
  -9.787051       41.78165    
  -9.771000       41.78104    
  -9.754950       41.78042    
  -9.738899       41.77980    
  -9.722850       41.77917    
  -9.706800       41.77855    
  -9.690751       41.77792    
  -9.674702       41.77729    
  -9.658653       41.77666    
  -9.642605       41.77602    
  -9.626557       41.77539    
  -9.610510       41.77475    
  -9.594462       41.77411    
  -9.578415       41.77346    
  -9.562368       41.77282    
  -9.546322       41.77217    
  -9.530276       41.77152    
  -9.514231       41.77087    
  -9.498185       41.77021    
  -9.482141       41.76955    
  -9.466096       41.76890    
  -9.450051       41.76823    
  -9.434008       41.76757    
  -9.417964       41.76690    
  -9.401920       41.76624    
  -9.385878       41.76556    
  -9.369835       41.76489    
  -9.353793       41.76421    
  -9.337751       41.76353    
  -9.321710       41.76286    
  -9.305668       41.76218    
  -9.289627       41.76149    
  -9.273586       41.76080    
  -9.257546       41.76011    
  -9.241507       41.75942    
  -9.225468       41.75873    
  -9.209429       41.75803    
  -9.193390       41.75733    
  -9.177352       41.75663    
  -9.161314       41.75593    
  -9.145276       41.75523    
  -9.129238       41.75452    
  -9.113201       41.75381    
  -9.097165       41.75310    
  -9.081129       41.75238    
  -9.065093       41.75166    
  -9.049057       41.75095    
  -9.033022       41.75022    
  -9.016988       41.74950    
  -9.000954       41.74878    
  -8.984920       41.74805    
  -8.968885       41.74731    
  -8.952852       41.74658    
  -8.936820       41.74585    
  -8.920788       41.74511    
  -8.904755       41.74437    
  -8.888723       41.74363    
  -8.872692       41.74289    
  -8.856661       41.74214    
  -8.840631       41.74139    
  -8.824600       41.74064    
  -8.808571       41.73989    
  -8.792542       41.73913    
  -8.776512       41.73837    
  -8.760484       41.73761    
  -8.744455       41.73685    
  -8.728427       41.73609    
  -8.712399       41.73532    
  -8.696373       41.73455    
  -8.680346       41.73378    
  -8.664320       41.73301    
  -8.648294       41.73223    
  -8.632269       41.73145    
